municipio;latitude;longitude;hospital_estadual;hospital_federal;hospital_municipal;hospital_particular;clinica_estadual;clinica_federal;clinica_municipal;clinica_particular;consultorio_total;pronto_atendimento_total;unidade_movel_total;baixissima vulnerabilidade_n_pessoas;muito baixa vulnerabilidade_n_pessoas;baixa vulnerabilidade_n_pessoas;media vulnerabilidade_n_pessoas;alta vulnerabilidade_n_pessoas;muito alta vulnerabilidade_n_pessoas;vigilancia em saude;consultas / atendimentos / acompanhamentos;diagnostico em vigilancia epidemiologica e ambiental;diagnostico em laboratorio clinico;coleta de material;tratamentos clinicos (outras especialidades);diagnostico por ultrasonografia;diagnostico por radiologia;fisioterapia;tratamentos odontologicos;diagnostico por teste rapido;terapias especializadas;diagnostico por tomografia;diagnostico por ressonancia magnetica;pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa;diagnostico por endoscopia;metodos diagnosticos em especialidades;diagnostico por anatomia patologica e citopatologia;bucomaxilofacial;diagnostico por radiologia intervencionista;anestesiologia;hemoterapia;diagnostico e procedimentos especiais em hemoterapia;diagnostico por medicina nuclear in vivo;tratamento em oncologia;tratamento em nefrologia;componente especializado da assitencia farmaceutica;orteses, proteses e materiais especiais nao relacionados ao ato cirurgico;autorizacao / regulacao;acoes coletivas / individuais em saude;acoes relacionadas ao estabelecimento;tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas;cirurgia do aparelho circulatorio;cirurgia do sistema nervoso central e periferico;parto e nascimento;medicamentos de ambito hospitalar e urgencia;cirurgia do aparelho digestivo, orgaos anexos e parede abdominal;cirurgia do sistema osteomuscular;cirurgia obstetrica;cirurgia toracica;cirurgia em oncologia;acoes relacionadas ao atendimento;cirurgia do aparelho geniturinario;cirurgia reparadora;cirurgia das vias aereas superiores, da face, da cabeca e do pescoco;cirurgia de mama;orteses, proteses e materiais especiais relacionados ao ato cirurgico;acompanhamento e intercorrencias no pre e pos-transplante;cirurgia do aparelho da visao;cirurgia de glandulas endocrinas;cirurgia em nefrologia;outras cirurgias;coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante;acoes relacionadas a doacao de orgaos e tecidos para transplante;processamento de tecidos para transplante;transplante de orgaos, tecidos e celulas;avaliacao de morte encefalica;populacao;receita_anual;ids;categoria;cluster
ADAMANTINA;-21,682;-51,0737;0;0;0;2;0;0;3;18;131;0;3;99;20816;4015;5683;3181;0;7;23844;75;22707;0;144;506;1854;2349;0;466;22;286;0;164;0;438;0;0;0;8;528;606;0;0;937;0;26;128590;0;0;6;0;0;3;106;41;33;30;4;0;996;4;0;2;0;49;0;0;0;4;0;0;0;0;0;0;35153;268875962.04;0.872;Estruturado;0
ADOLFO;-21,2325;-49,6451;0;0;0;0;0;0;1;0;1;0;0;0;278;0;2010;1909;0;36;8730;0;0;713;0;0;7;321;200;557;2;0;0;2;0;72;0;49;0;0;0;0;0;0;0;0;10;0;3348;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3545;44259588.55;0.671;Moderado;0
AGUAI;-22,0572;-46,9735;0;0;1;0;0;0;1;3;47;1;1;0;13200;1669;11783;5356;0;115;25434;0;13372;195;0;502;359;1176;768;1026;0;0;0;249;0;192;0;149;0;0;0;0;0;0;0;0;0;0;9278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36981;163002453.98;0.645;Moderado;0
AGUAS DA PRATA;-21,9319;-46,7176;0;0;0;0;0;0;0;1;1;0;0;0;5756;0;1465;0;0;1129;4131;0;2623;29;0;0;441;0;0;166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8262;49185192.57;0.599;Moderado;0
AGUAS DE LINDOIA;-22,4733;-46,6314;0;0;0;1;0;0;0;7;34;0;0;152;9144;1521;5300;1394;0;0;3388;0;0;0;1;0;983;192;0;0;0;0;0;0;0;151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6;4;6;0;0;265;0;0;0;0;7;0;0;0;0;3;0;0;0;0;0;18908;132786516.59;0.431;Em risco;3
AGUAS DE SANTA BARBARA;-22,8812;-49,2421;0;0;0;0;0;0;0;0;5;0;0;0;4207;1450;1139;228;0;0;2718;0;3639;0;0;0;0;0;0;382;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6142;58294833.6;0.627;Moderado;0
AGUAS DE SAO PEDRO;-22,5977;-47,8734;0;0;0;0;0;0;0;0;2;1;0;0;2185;594;0;0;0;0;3212;0;3390;95;0;31;293;241;94;122;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3588;44629425.44;0.807;Estruturado;0
AGUDOS;-22,4694;-48,9863;0;0;0;1;0;0;2;2;25;1;1;247;18140;2892;4767;11067;0;193;52595;0;4117;213;16;150;1754;622;722;1802;228;0;0;72;0;325;0;89;0;0;0;0;0;0;0;0;0;0;6220;0;0;2;1;7;0;33;21;15;0;0;0;13;1;1;0;8;0;0;0;0;0;0;0;0;0;0;37582;224804259.92;0.637;Moderado;0
ALAMBARI;-23,5503;-47,898;0;0;0;0;0;0;0;1;2;0;1;0;2421;0;1666;1656;0;466;8142;0;2624;582;0;0;12;214;820;443;0;0;0;3;0;29;0;52;0;0;0;0;0;0;0;0;20;0;3629;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6231;41409300.99;0.631;Moderado;0
ALFREDO MARCONDES;-21,9527;-51,414;0;0;0;0;0;0;0;0;2;0;0;0;1148;0;2027;1074;0;81;4770;0;0;189;0;0;0;337;366;134;0;0;0;16;0;23;0;43;0;0;0;0;0;0;0;0;20;0;7600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4201;34058191.48;0.615;Moderado;0
