municipio;alta vulnerabilidade_n_domicilios;baixa vulnerabilidade_n_domicilios;baixissima vulnerabilidade_n_domicilios;muito alta vulnerabilidade_n_domicilios;muito baixa vulnerabilidade_n_domicilios;media vulnerabilidade_n_domicilios;alta vulnerabilidade_n_pessoas;baixa vulnerabilidade_n_pessoas;baixissima vulnerabilidade_n_pessoas;muito alta vulnerabilidade_n_pessoas;muito baixa vulnerabilidade_n_pessoas;media vulnerabilidade_n_pessoas;alta vulnerabilidade_n_setores;baixa vulnerabilidade_n_setores;baixissima vulnerabilidade_n_setores;muito alta vulnerabilidade_n_setores;muito baixa vulnerabilidade_n_setores;media vulnerabilidade_n_setores
ADAMANTINA;1162.0;1667.0;36.0;0.0;8316.0;2140.0;3181.0;4015.0;99.0;0.0;20816.0;5683.0;7.0;10.0;1.0;0.0;49.0;12.0
ADOLFO;688.0;0.0;0.0;0.0;98.0;801.0;1909.0;0.0;0.0;0.0;278.0;2010.0;3.0;0.0;0.0;0.0;2.0;3.0
AGUAI;1770.0;621.0;0.0;0.0;4931.0;4158.0;5356.0;1669.0;0.0;0.0;13200.0;11783.0;7.0;4.0;0.0;0.0;26.0;22.0
AGUAS DA PRATA;0.0;0.0;0.0;0.0;2279.0;534.0;0.0;0.0;0.0;0.0;5756.0;1465.0;0.0;0.0;0.0;0.0;16.0;3.0
AGUAS DE LINDOIA;483.0;589.0;57.0;0.0;3646.0;1921.0;1394.0;1521.0;152.0;0.0;9144.0;5300.0;4.0;5.0;1.0;0.0;26.0;13.0
AGUAS DE SANTA BARBARA;69.0;543.0;0.0;0.0;1640.0;411.0;228.0;1450.0;0.0;0.0;4207.0;1139.0;1.0;4.0;0.0;0.0;15.0;3.0
AGUAS DE SAO PEDRO;0.0;266.0;0.0;0.0;887.0;0.0;0.0;594.0;0.0;0.0;2185.0;0.0;0.0;2.0;0.0;0.0;5.0;0.0
AGUDOS;3618.0;967.0;89.0;0.0;6563.0;1598.0;11067.0;2892.0;247.0;0.0;18140.0;4767.0;14.0;4.0;1.0;0.0;28.0;7.0
ALAMBARI;563.0;0.0;0.0;0.0;865.0;572.0;1656.0;0.0;0.0;0.0;2421.0;1666.0;4.0;0.0;0.0;0.0;7.0;4.0
ALFREDO MARCONDES;407.0;0.0;0.0;0.0;463.0;785.0;1074.0;0.0;0.0;0.0;1148.0;2027.0;3.0;0.0;0.0;0.0;4.0;5.0
