municipio;acoes coletivas / individuais em saude;vigilancia em saude;coleta de material;diagnostico em laboratorio clinico;diagnostico por anatomia patologica e citopatologia;diagnostico por radiologia;diagnostico por ultrasonografia;diagnostico por tomografia;diagnostico por ressonancia magnetica;diagnostico por medicina nuclear in vivo;diagnostico por endoscopia;diagnostico por radiologia intervencionista;metodos diagnosticos em especialidades;diagnostico e procedimentos especiais em hemoterapia;diagnostico em vigilancia epidemiologica e ambiental;diagnostico por teste rapido;consultas / atendimentos / acompanhamentos;fisioterapia;tratamentos clinicos (outras especialidades);tratamento em oncologia;tratamento em nefrologia;hemoterapia;tratamentos odontologicos;terapias especializadas;parto e nascimento;pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa;cirurgia do sistema nervoso central e periferico;cirurgia das vias aereas superiores, da face, da cabeca e do pescoco;cirurgia do aparelho da visao;cirurgia do aparelho circulatorio;cirurgia do aparelho digestivo, orgaos anexos e parede abdominal;cirurgia do sistema osteomuscular;cirurgia do aparelho geniturinario;cirurgia de mama;cirurgia obstetrica;cirurgia toracica;cirurgia reparadora;bucomaxilofacial;outras cirurgias;anestesiologia;cirurgia em nefrologia;coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante;acoes relacionadas a doacao de orgaos e tecidos para transplante;processamento de tecidos para transplante;transplante de orgaos, tecidos e celulas;acompanhamento e intercorrencias no pre e pos-transplante;componente especializado da assitencia farmaceutica;orteses, proteses e materiais especiais nao relacionados ao ato cirurgico;orteses, proteses e materiais especiais relacionados ao ato cirurgico;acoes relacionadas ao estabelecimento;autorizacao / regulacao;total
ADAMANTINA;;7.0;;22707.0;;1854.0;506.0;286.0;;;;;438.0;606.0;75.0;466.0;23844.0;2349.0;144.0;;937.0;528.0;;22.0;;164.0;;11.0;1.0;;1.0;14.0;;;;;;;;8.0;7.0;;;;;;;26.0;11.0;;12859;67871
ADOLFO;3348.0;36.0;713.0;;;7.0;;;;;;;72.0;;;557.0;8730.0;321.0;;;;;200.0;2.0;;2.0;;;;;;;;;;;;49.0;;;;;;;;;;10.0;;;;14047
AGUA�;9278.0;115.0;195.0;13372.0;;359.0;502.0;;;;;;192.0;;;1026.0;25434.0;1176.0;;;;;768.0;;;249.0;;3.0;;;;;;;;;;149.0;;;;;;;;;;;;;;52818
�GUAS DA PRATA;1103.0;1129.0;29.0;2623.0;;441.0;;;;;;;;;;166.0;4131.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9622
�GUAS DE LIND�IA;;;;;;983.0;;;;;;;151.0;;;;3388.0;192.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4715
�GUAS DE SANTA B�RBARA;;;;3639.0;;;;;;;;;;;;382.0;2718.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6739
�GUAS DE S�O PEDRO;73.0;;95.0;3390.0;;293.0;31.0;;;;;;;;;122.0;3212.0;241.0;;;;;94.0;;;;;;;;;;;;;;;13.0;;;;;;;;;;;;;;7564
AGUDOS;6220.0;193.0;213.0;4117.0;;1754.0;150.0;;;;;;325.0;;;1802.0;52595.0;622.0;16.0;;;;722.0;228.0;;72.0;;1.0;;;;1.0;;;;;;89.0;;;;;;;;;;;;;;69120
ALAMBARI;3629.0;466.0;582.0;2624.0;;12.0;;;;;;;29.0;;;443.0;8142.0;214.0;;;;;820.0;;;3.0;;1.0;;;;;;;;;;52.0;;;;;;;;;;20.0;;;;17037
ALFREDO MARCONDES;7600.0;81.0;189.0;;;;;;;;;;23.0;;;134.0;4770.0;337.0;;;;;366.0;;;16.0;;;;;;;;;;;;43.0;;;;;;;;;;20.0;;;;13579
